**  時頻分析【輸出數值結果】(方法一)  **
       t <= 2 * PI        y(振幅）

        0.00000          6.00000
        0.97000          4.88204
        1.94000          4.67382
        2.91000          6.55952
        3.88000          8.92336
        4.85000         10.62240
        5.82000         12.13236
        0.50681          0.25346
        1.47681          5.29941
        2.44681          2.42056
        3.41681          7.42709
        4.38681         12.47838
        5.35681         12.28274
        0.04363          1.34090
        1.01363          1.74577
        1.98363          7.41427
        2.95363          9.50797
        3.92363         10.15999

======================================

**  時頻分析【輸出數值結果】(方法二)  **
       t <= 2 * PI        y(振幅）

        0.00000          6.00000
        0.97000          4.88204
        1.94000          4.67382
        2.91000          6.55952
        3.88000          8.92336
        4.85000         10.62240
        5.82000         12.13236
        0.50681          0.25346
        1.47681          5.29941
        2.44681          2.42056
        3.41681          7.42709
        4.38681         12.47838
        5.35681         12.28274
        0.04363          1.34090
        1.01363          1.74577
        1.98363          7.41427
        2.95363          9.50797
        3.92363         10.15999

請按任意鍵繼續 . . .
